Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls
128,415,No,Yes,25,265.1,110,45.07,197.4,99
107,415,No,Yes,26,161.6,123,27.47,195.5,103
137,415,No,No,0,243.4,114,41.38,121.2,110
84,408,Yes,No,0,299.4,71,50.9,61.9,88
75,415,Yes,No,0,166.7,113,28.34,148.3,122
118,510,Yes,No,0,223.4,98,37.98,220.6,101
121,510,No,Yes,24,218.2,88,37.09,348.5,108
147,415,Yes,No,0,157,79,26.69,103.1,94
117,408,No,No,0,184.5,97,31.37,351.6,80
141,415,Yes,Yes,37,258.6,84,43.96,222,111
65,415,No,No,0,129.1,137,21.95,228.5,83
74,415,No,No,0,187.7,127,31.91,163.4,148
168,408,No,No,0,128.8,96,21.9,104.9,71
95,510,No,No,0,156.6,88,26.62,247.6,75
62,415,No,No,0,120.7,70,20.52,307.2,76
161,415,No,No,0,332.9,67,56.59,317.8,97
85,408,No,Yes,27,196.4,139,33.39,280.9,90
93,510,No,No,0,190.7,114,32.42,218.2,111
76,510,No,Yes,33,189.7,66,32.25,212.8,65
73,415,No,No,0,224.4,90,38.15,159.5,88
147,415,No,No,0,155.1,117,26.37,239.7,93
77,408,No,No,0,62.4,89,10.61,169.9,121
130,415,No,No,0,183,112,31.11,72.9,99
111,415,No,No,0,110.4,103,18.77,137.3,102
132,510,No,No,0,81.1,86,13.79,245.2,72
174,415,No,No,0,124.3,76,21.13,277.1,112
57,408,No,Yes,39,213,115,36.21,191.1,112
54,408,No,No,0,134.3,73,22.83,155.5,100
20,415,No,No,0,190,109,32.3,258.2,84
49,510,No,No,0,119.3,117,20.28,215.1,109
142,415,No,No,0,84.8,95,14.42,136.7,63
75,510,No,No,0,226.1,105,38.44,201.5,107
172,408,No,No,0,212,121,36.04,31.2,115
12,408,No,No,0,249.6,118,42.43,252.4,119
57,408,No,Yes,25,176.8,94,30.06,195,75
72,415,No,Yes,37,220,80,37.4,217.3,102
36,408,No,Yes,30,146.3,128,24.87,162.5,80
78,415,No,No,0,130.8,64,22.24,223.7,116
136,415,Yes,Yes,33,203.9,106,34.66,187.6,99
149,408,No,No,0,140.4,94,23.87,271.8,92
98,408,No,No,0,126.3,102,21.47,166.8,85
135,408,Yes,Yes,41,173.1,85,29.43,203.9,107
34,510,No,No,0,124.8,82,21.22,282.2,98
160,415,No,No,0,85.8,77,14.59,165.3,110
64,510,No,No,0,154,67,26.18,225.8,118
59,408,No,Yes,28,120.9,97,20.55,213,92
65,415,No,No,0,211.3,120,35.92,162.6,122
142,408,No,No,0,187,133,31.79,134.6,74
119,415,No,No,0,159.1,114,27.05,231.3,117
97,415,No,Yes,24,133.2,135,22.64,217.2,58
52,408,No,No,0,191.9,108,32.62,269.8,96
60,408,No,No,0,220.6,57,37.5,211.1,115
10,408,No,No,0,186.1,112,31.64,190.2,66
96,415,No,No,0,160.2,117,27.23,267.5,67
87,415,No,No,0,151,83,25.67,219.7,116
81,408,No,No,0,175.5,67,29.84,249.3,85
141,415,No,No,0,126.9,98,21.57,180,62
121,408,No,Yes,30,198.4,129,33.73,75.3,77
68,415,No,No,0,148.8,70,25.3,246.5,164
125,408,No,No,0,229.3,103,38.98,177.4,126
174,408,No,No,0,192.1,97,32.66,169.9,94
116,415,No,Yes,34,268.6,83,45.66,178.2,142
74,510,No,Yes,33,193.7,91,32.93,246.1,96
149,408,No,Yes,28,180.7,92,30.72,187.8,64
38,408,No,No,0,131.2,98,22.3,162.9,97
40,415,No,Yes,41,148.1,74,25.18,169.5,88
43,415,Yes,No,0,251.5,105,42.76,212.8,104
113,408,Yes,No,0,125.2,93,21.28,206.4,119
126,408,No,No,0,211.6,70,35.97,216.9,80
150,510,No,No,0,178.9,101,30.41,169.1,110
138,408,No,No,0,241.8,93,41.11,170.5,83
162,510,No,Yes,46,224.9,97,38.23,188.2,84
147,510,No,No,0,248.6,83,42.26,148.9,85
90,415,No,No,0,203.4,146,34.58,226.7,117
85,415,No,No,0,235.8,109,40.09,157.2,94
50,415,No,No,0,157.1,90,26.71,223.3,72
82,415,No,No,0,300.3,109,51.05,181,100
144,408,No,No,0,61.6,117,10.47,77.1,85
46,415,No,No,0,214.1,72,36.4,164.4,104
70,408,No,No,0,170.2,98,28.93,155.2,102
144,415,No,No,0,201.1,99,34.19,303.5,74
116,415,Yes,No,0,215.4,104,36.62,204.8,79
55,408,No,Yes,25,165.6,123,28.15,136.1,95
70,415,No,Yes,24,249.5,101,42.42,259.7,98
106,510,No,No,0,210.6,96,35.8,249.2,85
128,510,No,Yes,29,179.3,104,30.48,225.9,86
94,408,No,No,0,157.9,105,26.84,155,101
111,510,No,No,0,214.3,118,36.43,208.5,76
74,415,No,Yes,35,154.1,104,26.2,123.4,84
128,415,No,No,0,237.9,125,40.44,247.6,93
82,510,No,No,0,143.9,61,24.46,194.9,105
155,415,No,No,0,203.4,100,34.58,190.9,104
80,415,No,No,0,124.3,100,21.13,173,107
78,415,No,No,0,252.9,93,42.99,178.4,112
90,415,No,No,0,179.1,71,30.45,190.6,81
104,408,No,No,0,278.4,106,47.33,81,113
73,415,No,No,0,160.1,110,27.22,213.3,72
99,415,No,No,0,198.2,87,33.69,207.3,76
120,408,No,No,0,212.1,131,36.06,209.4,104
77,415,No,No,0,251.8,72,42.81,205.7,126
98,510,No,Yes,21,161.2,114,27.4,252.2,83
108,415,No,No,0,178.3,137,30.31,189,76
135,415,No,No,0,151.7,82,25.79,119,105
95,408,No,No,0,135,99,22.95,183.6,106
122,408,No,No,0,170.5,94,28.99,173.7,109
95,408,No,No,0,238.1,65,40.48,187.2,98
36,510,No,Yes,29,281.4,102,47.84,202.2,76
93,510,No,Yes,21,117.9,131,20.04,164.5,115
141,415,No,Yes,32,148.6,91,25.26,131.1,97
157,408,No,No,0,229.8,90,39.07,147.9,121
120,408,No,No,0,165,100,28.05,317.2,83
103,415,No,No,0,185,117,31.45,223.3,94
98,408,No,No,0,161,117,27.37,190.9,113
125,408,No,No,0,126.7,108,21.54,206,90
63,415,No,No,0,58.9,125,10.01,169.6,59
36,510,Yes,Yes,42,196.8,89,33.46,254.9,122
64,510,No,No,0,162.6,83,27.64,152.3,109
74,415,No,No,0,282.5,114,48.03,219.9,48
112,510,No,Yes,36,113.7,117,19.33,157.5,82
97,408,No,No,0,239.8,125,40.77,214.8,111
46,408,No,No,0,210.2,92,35.73,227.3,77
41,408,No,Yes,22,213.8,102,36.35,141.8,86
121,510,No,No,0,190.7,103,32.42,183.5,117
193,415,No,No,0,170.9,124,29.05,132.3,95
130,510,No,No,0,154.2,119,26.21,110.2,98
85,408,No,No,0,201.4,52,34.24,229.4,104
162,415,No,No,0,70.7,108,12.02,157.5,87
61,510,No,Yes,27,187.5,124,31.88,146.6,103
92,408,No,No,0,91.7,90,15.59,193.7,123
131,408,No,Yes,36,214.2,115,36.41,161.7,117
90,415,No,No,0,145.5,92,24.74,217.7,114
75,408,No,No,0,166.3,125,28.27,158.2,86
78,415,No,No,0,231,115,39.27,230.4,140
82,408,No,No,0,200.3,96,34.05,201.2,102
163,408,No,No,0,197,109,33.49,202.6,128
91,510,Yes,No,0,129.9,112,22.08,173.3,83
75,415,No,Yes,21,175.8,97,29.89,217.5,106
91,510,No,No,0,203.1,106,34.53,210.1,113
127,510,No,Yes,36,183.2,117,31.14,126.8,76
113,415,No,Yes,23,205,101,34.85,152,60
110,510,No,No,0,148.5,115,25.25,276.4,84
120,415,No,Yes,39,200.3,68,34.05,220.4,97
157,415,No,Yes,28,192.6,107,32.74,195.5,74
103,510,No,No,0,246.5,47,41.91,195.5,84
117,408,Yes,No,0,167.1,86,28.41,177.5,87
140,415,No,No,0,231.9,101,39.42,160.1,94
127,408,No,No,0,146.7,91,24.94,203.5,78
83,408,Yes,No,0,271.5,87,46.16,216.3,126
121,408,No,No,0,181.5,121,30.86,218.4,98
145,408,No,Yes,43,257.7,97,43.81,162.1,95
113,408,No,No,0,193.8,99,32.95,221.4,125
117,415,No,No,0,102.8,119,17.48,206.7,91
65,408,No,No,0,187.9,116,31.94,157.6,117
56,415,No,No,0,226,112,38.42,248.5,118
96,415,No,No,0,260.4,115,44.27,146,46
151,408,No,No,0,178.7,116,30.38,292.1,138
83,415,No,No,0,337.4,120,57.36,227.4,116
139,510,No,Yes,23,157.6,129,26.79,247,96
6,510,No,No,0,183.6,117,31.21,256.7,72
115,510,No,Yes,24,142.1,124,24.16,183.4,129
87,415,No,No,0,136.3,97,23.17,172.2,108
141,415,No,No,0,217.1,110,36.91,241.5,111
141,510,No,Yes,36,187.5,99,31.88,241.4,116
62,415,No,No,0,98.9,103,16.81,135.4,122
146,415,No,No,0,206.3,151,35.07,148.6,89
92,415,No,Yes,33,243.1,92,41.33,213.8,92
185,510,No,Yes,31,189.8,126,32.27,163.3,133
148,415,No,No,0,202,102,34.34,243.2,128
94,408,No,Yes,38,170.1,124,28.92,193.3,116
32,510,No,No,0,230.9,87,39.25,187.4,90
68,408,No,No,0,237.1,105,40.31,223.5,105
64,408,No,Yes,27,182.1,91,30.96,169.7,98
25,415,No,No,0,119.3,87,20.28,211.5,101
65,415,No,No,0,116.8,87,19.86,178.9,93
179,408,No,No,0,219.2,92,37.26,149.4,125
94,415,No,No,0,252.6,104,42.94,169,125
62,415,No,No,0,147.1,91,25.01,190.4,107
127,415,No,No,0,202.1,103,34.36,229.4,86
116,408,No,No,0,173.5,93,29.5,194.1,76
70,408,No,No,0,232.1,122,39.46,292.3,112
94,510,Yes,Yes,23,197.1,125,33.51,214.5,136
126,415,No,No,0,58.2,94,9.89,138.7,118
67,408,No,Yes,36,115.6,111,19.65,237.7,94
19,408,No,No,0,186.1,98,31.64,254.3,57
170,510,Yes,No,0,259.9,68,44.18,245,122
73,415,No,No,0,214.3,145,36.43,268.5,135
106,408,No,No,0,158.7,74,26.98,64.3,139
93,415,No,No,0,271.6,71,46.17,229.4,108
164,510,No,No,0,160.6,111,27.3,163.2,126
51,408,No,No,0,232.4,109,39.51,187.4,95
107,415,No,No,0,133.8,85,22.75,180.5,94
130,415,No,No,0,176.9,109,30.07,90.7,104
80,408,No,No,0,209.9,74,35.68,195.1,77
94,415,No,No,0,137.5,118,23.38,203.2,88
118,408,No,Yes,23,289.5,52,49.22,166.6,111
117,415,No,Yes,23,198.1,86,33.68,177,86
78,415,No,No,0,149.7,119,25.45,182.2,115
208,510,No,No,0,326.5,67,55.51,176.3,113
131,510,Yes,Yes,26,292.9,101,49.79,199.7,97
63,408,No,No,0,83,64,14.11,177,106
53,415,No,Yes,24,145.7,146,24.77,220.5,136
62,408,No,No,0,182.3,101,30.99,328.2,93
97,415,No,No,0,218,86,37.06,184,94
105,510,No,No,0,140.6,109,23.9,178.6,51
157,415,No,No,0,152.7,105,25.96,257.5,80
66,415,No,Yes,36,106.7,76,18.14,209.8,77
122,415,No,No,0,243.8,98,41.45,83.9,72
38,415,No,No,0,194.4,94,33.05,186.7,95
106,510,No,No,0,213.9,95,36.36,151.9,70
99,510,No,No,0,217.2,112,36.92,246.7,89
99,415,No,No,0,241.1,72,40.99,155.6,98
144,510,Yes,No,0,203.5,100,34.6,247.6,103
82,415,No,Yes,24,155.2,131,26.38,244.5,106
86,408,No,Yes,31,167.6,139,28.49,113,118
70,510,Yes,No,0,226.7,98,38.54,228.1,115
93,415,No,No,0,179.3,93,30.48,178.6,98
93,415,No,No,0,151.4,89,25.74,186.4,76
120,415,No,No,0,180,80,30.6,224.2,82
136,415,No,No,0,250.2,121,42.53,267.1,118
106,415,No,No,0,223,121,37.91,110.1,98
81,415,No,No,0,183.6,116,31.21,152.6,98
127,408,No,Yes,22,166,114,28.22,174.5,103
